"doctor_id","first_name","last_name","specialty","phone","email"
1,"Doctor_1","Last_1","General Medicine","0801162413","doctor_1@hospital.com"
2,"Doctor_2","Last_2","Neurology","0809414663","doctor_2@hospital.com"
3,"Doctor_3","Last_3","Neurology","0805672743","doctor_3@hospital.com"
4,"Doctor_4","Last_4","Cardiology","0802911395","doctor_4@hospital.com"
5,"Doctor_5","Last_5","Orthopedics","0801672273","doctor_5@hospital.com"
6,"Doctor_6","Last_6","Neurology","0804567748","doctor_6@hospital.com"
7,"Doctor_7","Last_7","Neurology","0809327563","doctor_7@hospital.com"
8,"Doctor_8","Last_8","Orthopedics","0804189954","doctor_8@hospital.com"
9,"Doctor_9","Last_9","Orthopedics","0801421693","doctor_9@hospital.com"
10,"Doctor_10","Last_10","Cardiology","0808584675","doctor_10@hospital.com"
11,"Doctor_11","Last_11","Neurology","080829491","doctor_11@hospital.com"
12,"Doctor_12","Last_12","Orthopedics","0807110035","doctor_12@hospital.com"
13,"Doctor_13","Last_13","Cardiology","0805257628","doctor_13@hospital.com"
14,"Doctor_14","Last_14","Neurology","080307618","doctor_14@hospital.com"
15,"Doctor_15","Last_15","Neurology","0802059452","doctor_15@hospital.com"
16,"Doctor_16","Last_16","Neurology","0802734607","doctor_16@hospital.com"
17,"Doctor_17","Last_17","Orthopedics","0807672774","doctor_17@hospital.com"
18,"Doctor_18","Last_18","General Medicine","0807893033","doctor_18@hospital.com"
19,"Doctor_19","Last_19","Cardiology","0801356735","doctor_19@hospital.com"
20,"Doctor_20","Last_20","Neurology","0805388839","doctor_20@hospital.com"
21,"Doctor_21","Last_21","Cardiology","0801937233","doctor_21@hospital.com"
22,"Doctor_22","Last_22","Orthopedics","0806919281","doctor_22@hospital.com"
23,"Doctor_23","Last_23","Neurology","0805464249","doctor_23@hospital.com"
24,"Doctor_24","Last_24","Neurology","080461096","doctor_24@hospital.com"
25,"Doctor_25","Last_25","Cardiology","0809599972","doctor_25@hospital.com"
26,"Doctor_26","Last_26","Orthopedics","0804665735","doctor_26@hospital.com"
27,"Doctor_27","Last_27","Cardiology","0805235255","doctor_27@hospital.com"
28,"Doctor_28","Last_28","Neurology","0805609944","doctor_28@hospital.com"
29,"Doctor_29","Last_29","Orthopedics","0805925513","doctor_29@hospital.com"
30,"Doctor_30","Last_30","Neurology","0802861325","doctor_30@hospital.com"
31,"Doctor_31","Last_31","Cardiology","0803931186","doctor_31@hospital.com"
32,"Doctor_32","Last_32","Orthopedics","0802270860","doctor_32@hospital.com"
33,"Doctor_33","Last_33","Neurology","0801263048","doctor_33@hospital.com"
34,"Doctor_34","Last_34","Orthopedics","0801219469","doctor_34@hospital.com"
35,"Doctor_35","Last_35","Neurology","0801073161","doctor_35@hospital.com"
36,"Doctor_36","Last_36","General Medicine","0806658520","doctor_36@hospital.com"
37,"Doctor_37","Last_37","Cardiology","0804917463","doctor_37@hospital.com"
38,"Doctor_38","Last_38","General Medicine","0802319647","doctor_38@hospital.com"
